CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Segment,CLV
12346.0,326,12,77556.46,2,5,5,255,Potential,2843.2563181516166
12608.0,405,1,415.79,2,1,2,212,Lost,0.0
12745.0,487,2,723.85,1,2,3,123,Lost,15.738934397409668
12746.0,541,1,254.55,1,1,1,111,Lost,0.0
12747.0,2,26,9276.539999999999,5,5,5,555,Champions,580.5167396489798
12748.0,1,336,56599.39,5,5,5,555,Champions,3493.614699737654
12749.0,4,9,6897.36,5,5,5,555,Champions,616.7122092971974
12777.0,458,1,519.45,1,1,2,112,Lost,0.0
12819.0,458,1,540.52,1,1,2,112,Lost,0.0
12820.0,3,11,2689.52,5,5,4,554,Champions,178.69412354094112
12821.0,214,2,220.8,2,2,1,221,Lost,13.816003374605742
12822.0,71,2,948.88,3,2,3,323,Potential,132.96101727653405
12823.0,75,18,6501.5,3,5,5,355,Loyal,429.4423848384395
12824.0,60,1,397.12,4,1,2,412,Lost,0.0
12825.0,521,2,518.63,1,2,2,122,Lost,18.061200245678155
12826.0,3,12,2955.75,5,5,5,555,Champions,176.39691158544366
12827.0,6,3,430.15000000000003,5,3,2,532,Potential,119.6755609492507
12828.0,3,6,1018.71,5,4,3,543,Loyal,219.21535234246107
12829.0,337,3,385.3,2,3,2,232,Potential,24.843895227844126
12830.0,38,6,6814.64,4,4,5,445,Champions,1110.6777564923284
12831.0,262,3,451.11,2,3,2,232,Potential,34.1979516971036
12832.0,32,2,383.03,4,2,2,422,Potential,63.68967522879615
12833.0,145,1,417.38,3,1,2,312,Lost,0.0
12834.0,283,1,312.38,2,1,2,212,Lost,0.0
12835.0,428,41,6043.31,1,5,5,155,At Risk,3.413291110934114e-07
12836.0,59,15,6585.62,4,5,5,455,Champions,412.6667008634394
12837.0,173,2,688.41,3,2,3,323,Potential,21.7781814175751
12838.0,34,10,3398.48,4,5,5,455,Champions,269.6436624476588
12839.0,3,26,10071.73,5,5,5,555,Champions,634.669388931998
12840.0,144,7,4041.97,3,4,5,345,Loyal,299.7465736998214
12841.0,5,40,7540.68,5,5,5,555,Champions,616.5782579494116
12842.0,70,4,1917.99,3,3,4,334,Loyal,134.4700415201927
12843.0,66,30,6588.41,3,5,5,355,Loyal,410.6844470628653
12844.0,29,4,648.6,4,3,3,433,Loyal,56.48291535862266
12845.0,267,4,354.09,2,3,2,232,Potential,8.482196270746924
12846.0,682,1,15.58,1,1,1,111,Lost,0.0
12847.0,22,2,1636.8999999999999,4,2,4,424,Potential,209.5915552460922
12848.0,676,1,208.0,1,1,1,111,Lost,0.0
12849.0,31,6,3090.56,4,4,5,445,Champions,247.0214852356279
12850.0,446,1,330.0,1,1,2,112,Lost,0.0
12851.0,97,2,284.13,3,2,2,322,Potential,26.510041077535327
12852.0,295,1,311.55,2,1,2,212,Lost,0.0
12853.0,135,11,3907.5,3,5,5,355,Loyal,271.83155242923203
12854.0,79,7,2994.02,3,4,5,345,Loyal,185.6088717828781
12855.0,373,4,650.9399999999999,2,3,3,233,Potential,7.497929928892261
12856.0,8,6,2179.93,5,4,4,544,Champions,682.0064461170332
12857.0,211,6,3688.0,2,4,5,245,Potential,257.24370902849466
12858.0,383,1,177.92,2,1,1,211,Lost,0.0
12859.0,459,1,575.1,1,1,2,112,Lost,0.0
12860.0,693,1,55.47,1,1,1,111,Lost,0.0
12861.0,620,1,68.25,1,1,1,111,Lost,0.0
12862.0,426,2,1008.3199999999999,1,2,3,123,Lost,34.711144114419305
12863.0,52,6,2792.5499999999997,4,4,4,444,Champions,203.0500381332135
12864.0,138,2,299.57,3,2,2,322,Potential,26.688448154293
12867.0,26,13,7913.29,4,5,5,455,Champions,529.219858237657
12868.0,186,8,2247.06,3,4,4,344,Loyal,135.01672982934838
12869.0,682,1,337.66999999999996,1,1,2,112,Lost,0.0
12870.0,375,3,1676.95,2,3,4,234,Potential,111.45158397212649
12871.0,84,3,744.02,3,3,3,333,Loyal,58.465856365708696
12872.0,327,12,3685.4900000000002,2,5,5,255,Potential,40.78622992676199
12873.0,282,3,2027.3,2,3,4,234,Potential,143.6783625353205
12875.0,143,5,1356.99,3,4,4,344,Loyal,87.07746444630756
12877.0,4,20,2955.17,5,5,5,555,Champions,185.46060291070427
12878.0,236,2,854.99,2,2,3,223,Potential,85.58717244975557
12879.0,45,3,573.22,4,3,2,432,Potential,175.7173798281036
